Nazwa instancji,Sredni koszt najlepszych rozwiazan,Sredni czas[ms],Srednie zuzycie pamieci,Rozmiar instancji,Optymalny koszt,Procent bledu
gr17.tsp,2090,10,0,17,2085,0.239808,
gr21.tsp,2816,15,0,21,2707,4.0266,
gr24.tsp,1298,16,0,24,1272,2.04403,
bays29.tsp,2089,25,0,29,2020,3.41584,
eil51.tsp,458.799,65,0,51,426,7.69929,
berlin52.tsp,7963.39,84,0,52,7542,5.5873,
st70.tsp,709.335,147,0,70,675,5.08671,
kroA100.tsp,22400.7,331,0,100,21282,5.25669,
gr120.tsp,7526,442,0,120,6942,8.41256,
kroB150.tsp,29492,757,0,150,26130,12.8664,
kroB200.tsp,32576.6,1351,0,200,29437,10.6655,
pr226.tsp,83206,2025,0,226,80369,3.52997,
pr264.tsp,54817.5,2573,0,264,49135,11.5651,
pr299.tsp,53743.5,3330,0,299,48191,11.5219,
